"fila_excel","codigo","grupo_atq","subgrupo_atq","correlativo","medicamento","forma_farmaceutica","concentracion","clasificacion_atq","uso_restringido","precio_referencial","aclaracion_particularidades","es_valido","motivo_invalidacion"
"675","B0534","B","5","34","Solución Fisiológica","Solución parenteral","0,9% (150 ml)","B05CB01","","10.61","","True",""
"676","B0537","B","5","37","Solución Fisiológica","Solución parenteral","0,9% (100 ml)","B05CB01","","7.05","","True",""
"677","S0121","S","1","21","Solución Fisiológica","Solución Nasal","0,9% (15 a 30 ml)","S01X**","","30.47","15 ml","True",""
"678","B0524","B","5","24","Solución glucosada clorurada","Solución parenteral de gran volumen","500 ml","B05CB10","","13.164999999999999","","True",""
"679","B0525","B","5","25","Solución glucosada clorurada","Solución parenteral de gran volumen","1.000 ml","B05CB10","","10.54","1.000 ml","True",""
"680","B0535","B","5","35","Solución para diálisis intraperitoneal (de acuerdo a composición apropiada)","Solución parenteral","Según disponibilidad","B05D**","R","155.68","123.24Bs (2000 ml) 155,68Bs (6000 ml)","True",""
"681","B0526","B","5","26","Solución para dialisis peritoneal I","Solución parenteral de gran volumen","1.000 ml","B05DB**","","14.734999999999999","","True",""
"682","B0527","B","5","27","Solución para dialisis peritoneal II","Solución parenteral de gran volumen","1.000 ml","B05DB**","","18.43","","True",""
"683","B0529","B","5","29","Solución ringer lactato","Solución parenteral de gran volumen","500 ml","B05XA30","","10.046115088200033","","True",""
"684","B0530","B","5","30","Solución ringer lactato","Solución parenteral de gran volumen","1.000 ml","B05XA30","","13.52","","True",""
"685","B0531","B","5","31","Solución ringer normal","Solución parenteral de gran volumen","500 ml","B05XA30","","10.395","","True",""
"686","B0532","B","5","32","Solución ringer normal","Solución parenteral de gran volumen","1.000 ml","B05XA30","","13.896619829213659","","True",""
"687","H0104","H","1","4","Somatropina","Inyectable","4UI (1,33 mg)","H01AC01","R","SPR","","False","precio no numerico o ausente"
"688","A0207","A","2","7","Sucralfato","Suspensión","1g/5 ml","A02BX02","","105.05500000000001","200 ml","True",""
"689","J0610","J","6","10","Suero Antiescorpionico","Inyectable","Según disponibilidad","J06B**","","224","","True",""
"690","J0606","J","6","6","Suero Antilatrodectus","Inyectable","Según disponibilidad","J06****","","160","","True",""
"691","J0607","J","6","7","Suero Antiofídico Botrópico Crotàlico","Inyectable","Según disponibilidad","J06AA03","","211","","True",""
"692","J0608","J","6","8","Suero Antiofídico Botrópico Laquésico","Inyectable","Según disponibilidad","J06AA03","","211","","True",""
"693","J0609","J","6","9","Suero Antirràbico (heterólogo)","Inyectable","Según disponibilidad","J06AA06","","138","","True",""
"694","D0602","D","6","2","Sulfadiazina de plata","Crema o Pomada","0.01","D06BA01","","48.1","60 g Bs 48.10. 500 g Bs 202","True",""
"695","P0119","P","1","19","Sulfadoxina + Pirimetamina","Comprimido","500 mg + 25 mg","P01BD51","","0.32","","True",""
"696","V0808","V","8","8","Sulfato de Bario","Suspensión","Según disponibilidad","V08BA02","","235","","True",""
