"fila_excel","codigo","grupo_atq","subgrupo_atq","correlativo","medicamento","forma_farmaceutica","concentracion","clasificacion_atq","uso_restringido","precio_referencial","aclaracion_particularidades","es_valido","motivo_invalidacion"
"359","V0810","V","8","10","Gadoversetamida","Inyectable","0.5mmol / ml","V08CA06","R","450","","True",""
"360","L0118","L","1","18","Gemcitabina","Inyectable","1 g","L01BC05","","600","","True",""
"361","L0133","L","1","33","Gemcitabina","Inyectable","200 mg","L01BC05","","271.63","","True",""
"362","C1002","C","10","2","Gemfibrozilo","Comprimido","600 mg","C10AB04","","2.33","","True",""
"363","S0115","S","1","15","Gentamicina","Ungüento oftálmico","0,3%","S01AA11","","37.53","5 g","True",""
"364","S0116","S","1","16","Gentamicina","Solución oftálmica","0,3%","S01AA11","","11.59","5 ml","True",""
"365","J0148","J","1","48","Gentamicina sulfato","Inyectable","20 mg","J01GB03","","2.6","","True",""
"366","J0149","J","1","49","Gentamicina sulfato","Inyectable","80 mg","J01GB03","","2.15","","True",""
"367","A1001","A","10","1","Glibenclamida","Comprimido","5 mg","A10BB01","","0.30579999999999996","","True",""
"368","S0201","S","2","1","Glicerina + carbonato de sodio","Gotas óticas","Según disponibilidad","S02DA30","","25.33","3g/100ml","True",""
"369","D0201","D","2","1","Glicerol (Glicerina bidestilada)","Solución 1 l","Según disponibilidad","D02AX**","","106.83","","True",""
"370","A0605","A","6","5","Glicerol (Glicerina)","Supositorio","2 g a 4 g (adulto)","A06AX01","","2.6467794076963469","","True",""
"371","A0606","A","6","6","Glicerol (Glicerina)","Supositorio","1 g a 1,80 g (infantil)","A06AX01","","2.4643940047554347","","True",""
"372","L0411","L","4","11","Globulina Anti-timocito","Inyectable","250 mg/5ml","L04AA04","R","2813.46","","True",""
"373","L0419","L","4","19","Globulina Anti-timocito (conejo)","Inyectable","25 mg","L04AA04","R","SPR","","False","precio no numerico o ausente"
"374","B0510","B","5","10","Gluconato Cálcico (Calcio Gluconato)","Inyectable","0.1","B05XA07","","4.349915753188152","","True",""
"375","G0310","G","3","10","Gonadotrofina coriónica","Inyectable","5.000 UI/ml","G03GA01","","241.81","1 ml","True",""
"376","J0204","J","2","4","Griseofulvina","Comprimido","500 mg","J02AX**","","2.9414846870838884","","True",""
"377","J0205","J","2","5","Griseofulvina","Suspensión","125 mg/5 ml","J02AX**","","23.12","","True",""
"378","N0507","N","5","7","Haloperidol","Solución oral","2 mg/ml","N05AD01","","74.281599999999997","","True",""
"379","N0508","N","5","8","Haloperidol","Comprimido","5 mg","N05AD01","","2.109110517274289","","True",""
"380","N0517","N","5","17","Haloperidol","Inyectable","5 mg/ml","N05AD01","","42.51","1 ml","True",""
"381","N0509","N","5","9","Haloperidol decanoato","Inyectable","50 mg/ml","N05AD01","","79.498999999999995","1 ml","True",""
"382","N0107","N","1","7","Halotano","Solución","0,01% de timol","N01AB01","","450","250 ml","True",""
"383","B0103","B","1","3","Heparina de bajo peso molecular","Inyectable","Según disponibilidad","B01AB**","","76.141565403437895","","True",""
"384","B0104","B","1","4","Heparina sódica","Inyectable","5.000 UI/ml","B01AB01","","55.6313509863147","","True",""
"385","C0203","C","2","3","Hidralazina clorhidrato","Inyectable","20 mg/ml","C02DB02","","79","","True",""
"386","C0207","C","2","7","Hidralazina clorhidrato","Comprimido","25 mg","C02DB02","","0.79","","True",""
"387","C0306","C","3","6","Hidroclorotiazida","Comprimido ranurado","50 mg","C03AA03","","0.57000000000000006","","True",""
"388","C0307","C","3","7","Hidroclorotiazida + Amilorida","Comprimido","50 mg + 5 mg","C03AX01","","1.23","","True",""
"389","D0704","D","7","4","Hidrocortisona acetato","Crema o Pomada","0.01","D07AA02","","14.441813770936285","10 g","True",""
"390","H0205","H","2","5","Hidrocortisona succinato sódico","Inyectable","100 mg","H02AB09","","13.310276803734311","","True",""
"391","H0206","H","2","6","Hidrocortisona succinato sódico","Inyectable","250 mg","H02AB09","","45.87","","True",""
"392","D1101","D","11","1","Hidroquinona","Loción","4% o 5%","D11AX11","","51.67099566666667","30 ml","True",""
"393","D1102","D","11","2","Hidroquinona","Crema a Pomada","4% o 5 %","D11AX11","","37.06","30 g","True",""
"394","P0127","P","1","27","Hidroxicloroquina sulfato","Comprimido","200 mg","P01BA02","","7.0889313380184795","","True",""
"395","A0201","A","2","1","Hidróxido de aluminio y magnesio","Suspensión","1:1","A02AD01","","16.18","120 ml","True",""
"396","L0119","L","1","19","Hidroxiurea","Cápsula","500 mg","L01XX05","","5.4249999999999998","","True",""
"397","B0304","B","3","4","Hierro","Inyectable","100 mg - IM o IV","B03AC02","","46.994445460167832","","True",""
"398","B0312","B","3","12","Hierro (como bisglicina quelato)","Suspensión","30 mg/5 mL","B03AA01","","115.12","120 ml","True",""
"399","D0805","D","8","5","Hipoclorito de sodio","Solución","0.08","D08AX07","","14.71","","True",""
"400","C0114","C","1","14","Ibuprofeno","Inyectable","5 mg/ml","C01EB16","","34.65","","True",""
"401","M0104","M","1","4","Ibuprofeno","Suspensión","100 mg/5 ml","M01AE01","","14.58","100ml","True",""
"402","M0105","M","1","5","Ibuprofeno","Comprimido","400 mg","M01AE01","","0.49201448673457182","","True",""
"403","L0120","L","1","20","Ifosfamida","Inyectable","1 g","L01AA06","","131.33000000000001","","True",""
"404","L0149","L","1","49","Imatinib","Comprimido","100 mg","L01XE01","R","26.25","","True",""
"405","L0150","L","1","50","Imatinib","Comprimido","400 mg","L01XE01","R","238","","True",""
"406","J0150","J","1","50","Imipenem + Cilastatina","Inyectable","500 mg + 500 mg","J01DH51","R","74.449999999999989","","True",""
"407","N0605","N","6","5","Imipramina clorhidrato","Comprimido","25 mg","N06AA02","","0.62","","True",""
"408","M0106","M","1","6","Indometacina","Cápsula o Comprimido","25 mg","M01AB01","","0.46560000000000001","","True",""
"409","M0107","M","1","7","Indometacina","Supositorio","100 mg","M01AB01","","2.2012791951473236","","True",""
"410","J0602","J","6","2","Inmunoglobulina anti D (RH +)","Inyectable","0,1 mg/ml a 0,2 mg/ml","J06BB01","","1886.605","","True",""
"411","J0603","J","6","3","Inmunoglobulina humana normal","Inyectable","5 g IV","J06BA02","","4507","","True",""
"412","A1005","A","10","5","Insulina Glargina","Inyectable","100 U.I/ml","A10AE04","","411.01650000000001","10 ml","True",""
"413","A1006","A","10","6","Insulina Glulisina","Inyectable","100 U.I/ml","A10AB06","","370.21","10 ml","True",""
"414","A1002","A","10","2","Insulina recombinante humana NPH","Inyectable","100 UI/ml","A10AC01","","130","","True",""
"415","A1003","A","10","3","Insulina zinc cristalina recombinante humana","Inyectable","100 UI/ml","A10AB01","","107.22666666666667","10 ml","True",""
"416","L0302","L","3","2","Interferon alfa 2 b recombinante","Inyectable","10.000.000 UI con diluyente (1 ml)","L03AB05","","195.31","","True",""
"417","L0303","L","3","3","Interferon alfa 2 b recombinante","Inyectable","3.000.000 UI con diluyente (1 ml)","L03AB05","","90","","True",""
"418","L0304","L","3","4","Interferon beta","Inyectable","0,3 mg","L03AB07","","558.33500000000004","1 l","True",""
"419","D0806","D","8","6","Iodo (Yodo)","Solución hidroalcohólica","0.02","D08AG03","","125","1 L","True",""
"420","D0807","D","8","7","Iodo povidona (Yodopovidona)","Crema o Pomada","10% ( 500 g )","D08AG02","","186.15","","True",""
"421","D0808","D","8","8","Iodo povidona (Yodopovidona)","Solución","0.1","D08AG02","","96","1 L","True",""
"422","R0309","R","3","9","Ipratropio bromuro","Aerosol","20 mcg/dosis","R03BB01","","153.70999999999998","200 dosis","True",""
"423","L0140","L","1","40","Irinotecan","Inyectable","100 mg /5 ml","L01XX19","R","667.47684180790952","","True",""
"424","J0426","J","4","26","Isoniazida","Comprimido dispersable","100 mg","J04AC01","R","0.67","","True",""
"425","J0407","J","4","7","Isoniazida (INH)","Comprimido","100 mg","J04AC01","R","0.13","","True",""
"426","C0111","C","1","11","Isosorbida Mononitrato","Comprimido","20 mg","C01DA14","","2.15","","True",""
"427","P0213","P","2","13","Ivermectina","Comprimido","3 mg","P02CF01","","8.4499999999999993","","True",""
"428","P0214","P","2","14","Ivermectina","Comprimido","6 mg","P02CF01","","7.5","","True",""
"429","J0413","J","4","13","Kanamicina","Inyectable","1 g","J01GB04","","16.792523500000001","","True",""
"430","N0108","N","1","8","Ketamina (Cetamina)","Inyectable","50 mg/ml","N01AX03","","69","5 ml","True",""
"431","M0110","M","1","10","Ketoprofeno","Inyectable","100 mg","M01AE03","","20.824135790907008","","True",""
"432","M0109","M","1","9","Ketorolaco","Inyectable","30 mg/ml","M01AB15","","8.3959646678243338","1 ml","True",""
"433","R0604","R","6","4","Ketotifeno","Comprimido","1 mg","R06AX17","","5.16","","True",""
"434","S0117","S","1","17","Ketotifeno","Solución oftálmica","0,25 mg/ml","S01GX08","","189","","True",""
"435","C0707","C","7","7","Labetalol","Inyectable","20 mg","C07AG01","R","67.66021306032097","","True",""
"436","A0607","A","6","7","Lactulosa","Solución oral","65% a 67%","A06AD11","","58.28","0.65","True",""
"437","S0118","S","1","18","Lágrimas artificiales","Solución oftálmica","0,3% o 1%","S01XA20","","34.965000000000003","","True",""
"438","S0126","S","1","26","Lágrimas artificiales","Gel","0,3% o 1%","S01XA20","","105.505","","True",""
"439","J0515","J","5","15","Lamivudina","Comprimido","150 mg","J05AF05","","0.39","","True",""
"440","J0516","J","5","16","Lamivudina","Jarabe o Solución oral","10 mg/ml","J05AF05","","19.41","","True",""
"441","N0315","N","3","15","Lamotrigina","Comprimido","25 mg","N03AX09","R","9.8666666666665002","","True",""
"442","N0316","N","3","16","Lamotrigina","Comprimido","50 mg","N03AX09","R","12.57","","True",""
"443","N0317","N","3","17","Lamotrigina","Comprimido","100 mg","N03AX09","R","13.268750000000001","","True",""
"444","N0318","N","3","18","Lamotrigina","Comprimido","200 mg","N03AX09","R","17.760000000000002","","True",""
"445","S0127","S","1","27","Latanoprost","Solución oftálmica","50 mcg/ml","S01EE01","","129.93","","True",""
"446","J0546","J","5","46","Ledipasvir + Sofosbuvir","Comprimido","90 mg + 400 mg","J05AX65.","R","966.65","","True",""
"447","L0412","L","4","12","Leflunomida","Comprimido","20 mg","L04AA13","R","11.357715926110833","","True",""
"448","L0413","L","4","13","Leflunomida","Comprimido","100 mg","L04AA13","R","50","","True",""
"449","L0414","L","4","14","Lenalidomida","Cápsula","5 mg","L04AX04","R","297","","True",""
"450","L0415","L","4","15","Lenalidomida","Cápsula","10 mg","L04AX04","R","357.52","","True",""
"451","L0416","L","4","16","Lenalidomida","Cápsula","15 mg","L04AX04","R","494","","True",""
"452","L0417","L","4","17","Lenalidomida","Cápsula","25 mg","L04AX04","R","500","","True",""
"453","L0204","L","2","4","Letrozol","Comprimido","2,5 mg","L02BG04","","7.02","","True",""
"454","V0307","V","3","7","Leucovorina","Inyectable","50 mg","V03AF03","","102.47110487388584","","True",""
"455","V0314","V","3","14","Leucovorina (Folinato de calcio)","Comprimido","15 mg","V03AF03","","36.33","","True",""
"456","L0210","L","2","10","Leuprolide","Inyectable","7,5 mg","L02AE02","R","2768.2200000000003","","True",""
"457","N0402","N","4","2","Levodopa + Carbidopa","Comprimido","250 mg + 25 mg","N04BA02","","3.9653877894163179","","True",""
"458","J0166","J","1","66","Levofloxacina","Comprimido","500 mg","J01MA12","R","4.6392664323224739","","True",""
"459","J0168","J","1","68","Levofloxacina","Inyectable","500 mg","J01MA12","R","46","100 ml","True",""
"460","G0311","G","3","11","Levonorgestrel","Comprimido","0,75 mg","G03AD01","","13.863333333333333","","True",""
"461","G0319","G","3","19","Levonorgestrel","Implante subdérmico","150 mg","G03AC03","","260","","True",""
"462","G0320","G","3","20","Levonorgestrel","Comprimido","1,5 mg","G03AD01","","15.27611111111111","","True",""
"463","G0312","G","3","12","Levonorgestrel + Etinilestradiol","Comprimido","0,150 mg + 0,03 mg","G03FB09","","1.48","Por ciclo","True",""
"464","H0303","H","3","3","Levotiroxina sòdica","Comprimido","0,05 mg","H03AA01","","0.42000000000000004","50 MCg","True",""
"465","H0301","H","3","1","Levotiroxina sódica","Comprimido ranurado","0,1 mg","H03AA01","","0.72800000000000009","","True",""
"466","D0401","D","4","1","Lidocaína","Gel o Jalea","0.02","D04AB01","","42.67379573795445","","True",""
"467","N0109","N","1","9","Lidocaína","Cartucho dental","0.02","N01BB52","","5.15","","True",""
"468","D0402","D","4","2","Lidocaína clorhidrato","Solución para atomización","0.1","D04AB01","","135.82","","True",""
"469","N0110","N","1","10","Lidocaína clorhidrato + Epinefrina","Inyectable","2% 1:200.000","N01BB52","","34.475000000000001","","True",""
"470","N0111","N","1","11","Lidocaína clorhidrato + Epinefrina","Cartucho dental","2% 1:200.000","N01BB52","","5.9249999999999998","","True",""
"471","N0112","N","1","12","Lidocaína clorhidrato sin conservante","Inyectable","0.02","N01BB02","","12.210815028769751","","True",""
"472","J0170","J","1","70","Linezolid","Comprimido","600 mg","J01XX08","R","15.29","","True",""
"473","N0510","N","5","10","Litio carbonato","Comprimido","300 mg","N05AN01","","2.44","","True",""
"474","A0702","A","7","2","Loperamida","Cápsula o Comprimido","2 mg","A07DA03","","0.33","","True",""
"475","C0902","C","9","2","Losartán","Comprimido","50 mg","C09CA01","","1.27","50 Mg","True",""
"476","C0903","C","9","3","Losartán + hidroclorotiazida","Comprimido","50 mg + 12.5 mg","C09DA01","","1.26","","True",""
"477","C0904","C","9","4","Losartán + hidroclorotiazida","Comprimido","100 mg + 25 mg","C9DA01","","15.2","","True",""
"478","P0203","P","2","3","Mebendazol","Comprimido","100 mg","P02CA01","","0.34","","True",""
"479","P0204","P","2","4","Mebendazol","Suspensión","100 mg/5 ml","P02CA01","","8.27","","True",""
"480","P0205","P","2","5","Mebendazol","Comprimido","500 mg","P02CA01","","2.89","","True",""
"481","G0313","G","3","13","Medroxiprogesterona acetato","Inyectable","150 mg/ml","G03AC06","","18.08153288359096","1 ml","True",""
"482","G0314","G","3","14","Medroxiprogesterona acetato","Comprimido","10 mg","G03DA02","","2.3199999999999998","","True",""
"483","G0321","G","3","21","Medroxiprogesterona acetato","Inyectable","104mg/0,65 ml","G03AC06","","9.49","","True",""
"484","P0104","P","1","4","Mefloquina (clorhidrato)","Comprimido","250 mg","P01BC02","","5.99","","True",""
"485","P0105","P","1","5","Meglumina antimoniato","Inyectable","1,5 g/5 ml","P01CB01","","67.58","","True",""
"486","V0806","V","8","6","Meglumina diatrizoato","Inyectable","70% o 76% (20 ml)","V08AA01","","133.845","","True",""
"487","V0807","V","8","7","Meglumina diatrizoato","Inyectable","70% o 76% (50 ml)","V08AA01","","183.28","","True",""
"488","L0122","L","1","22","Melfalán","Comprimido","2 mg","L01AA03","","23","","True",""
"489","L0163","L","1","63","Melfalán","Inyectable","50 mg","L01AA03","R","SPR","","False","precio no numerico o ausente"
"490","M0111","M","1","11","Meloxicam","Comprimido","15 mg","M01AC06","","3.03","","True",""
"491","L0123","L","1","23","Mercaptopurina","Comprimido ranurado","50 mg","L01BB02","","9.8800000000000008","","True",""
"492","J0169","J","1","69","Meropenem","Inyectable","500 mg","J01DH02","R","90.586798941798932","","True",""
"493","A0707","A","7","7","Mesalazina","Comprimido","500 mg","A07S02","","18.564999999999998","","True",""
"494","A0708","A","7","8","Mesalazina","Supositorio","1g","A07S02","","57.392400000000002","","True",""
"495","V0308","V","3","8","Mesna (Mercapto etilsulfonato sódico)","Inyectable","400 mg","V03AF01","","99.85","","True",""
"496","N0204","N","2","4","Metadona","Comprimido","5 mg","N02AC**","","7.76","","True",""
"497","N0205","N","2","5","Metamizol (Dipirona)","Inyectable","1 g","N02BB02","","3.5549999999999997","","True",""
"498","A1004","A","10","4","Metformina","Comprimido","850 mg","A10BA02","","1.69","","True",""
"499","A1007","A","10","7","Metformina","Comprimido","500 mg","A10BA02","","1.28","","True",""
"500","C0204","C","2","4","Metildopa (Alfametildopa)","Comprimido","500 mg","C02AB02","","3.3","","True",""
"501","N0606","N","6","6","Metilfenidato","Comprimido","10 mg","N06BA04","","16.45","","True",""
"502","H0207","H","2","7","Metilprednisolona succinato sódico","Inyectable","500 mg","H02AB04","","186.79721682847895","","True",""
"503","A0307","A","3","7","Metoclopramida","Comprimido","10 mg","A03FA01","","0.38397008659848697","","True",""
"504","A0308","A","3","8","Metoclopramida","Inyectable","10mg / 2ml","A03FA01","","2.86","2 ml","True",""
"505","A0309","A","3","9","Metoclopramida","Solución oral gotas","0,35% o 0,5%","A03FA01","","18.061175634517767","","True",""
"506","L0124","L","1","24","Metotrexato","Inyectable","50 mg","L01BA01","","128.875","","True",""
"507","L0125","L","1","25","Metotrexato","Inyectable","500 mg","L01BA01","","244.86","","True",""
"508","L0126","L","1","26","Metotrexato","Comprimido","2,5 mg","L01BA01","","3.52","","True",""
"509","G0104","G","1","4","Metronidazol","Óvulo","500 mg","G01AF01","","3.28","","True",""
"510","P0106","P","1","6","Metronidazol","Suspensión","250 mg/5 ml","P01AB01","","27","100 ml","True",""
"511","P0107","P","1","7","Metronidazol","Inyectable","500 mg","P01AB01","","12.68","","True",""
"512","P0108","P","1","8","Metronidazol","Suspensión","125 mg/5 ml","P01AB01","","14.2","","True",""
"513","P0109","P","1","9","Metronidazol","Comprimido","500 mg","P01AB01","","0.62424418632695489","","True",""
"514","L0407","L","4","7","Micofenolato de mofetilo","Comprimido","500 mg","L04AA06","R","5.47","","True",""
"515","B0305","B","3","5","Micronutrientes (Vit. C + Vit A + Fe + Zn + Ac. Fólico) (Chispitas nutricionales)","Polvo","Según concentración estándar","B03AE10","","0.46","","True",""
"516","N0511","N","5","11","Midazolam","Inyectable","15 mg/3 ml","N05CD08","","20.5","","True",""
"517","G0210","G","2","10","Mifepristona","Comprimido","200 mg","G03XB01","","172.65","","True",""
"518","C0116","C","1","16","Milrinona","Inyectable","1 mg/ml","C01CE02","R","219.17615290669272","12 ml","True",""
"519","J0173","J","1","73","Minociclina","Comprimido","100 mg","J01AA08","R","11.03499604001979","","True",""
"520","A0206","A","2","6","Misoprostol","Comprimido","200 mcg","A02BB01","R","9.1125000000000007","","True",""
"521","G0208","G","2","8","Misoprostol","Comprimido vaginal","25 mcg","G02AD06","R","5.9","","True",""
"522","L0127","L","1","27","Mitomicina","Inyectable","20 mg","L01DC03","","717.65506465517251","","True",""
"523","M0302","M","3","2","Mivacuronio","Inyectable","2 mg/ml","M03AC10","","118.83","","True",""
"524","R0313","R","3","13","Montelukast","Comprimido o Cápsula","10 mg","R03DC03","","5.84","","True",""
"525","R0314","R","3","14","Montelukast","Comprimido","5 mg","R03DC03","","4.7","","True",""
"526","N0206","N","2","6","Morfina","Cápsula o Comprimido","10 mg","N02AA01","","4.1388928396272684","","True",""
"527","N0207","N","2","7","Morfina (con y sin conservante)","Inyectable","10 mg/ml","N02AA01","","18.232623438822003","1 ml","True",""
"528","J0172","J","1","72","Moxifloxacina","Comprimido","400 mg","J01MA14","R","3.45","","True",""
"529","A1109","A","11","9","Multivitaminas","Comprimido","Según concentración estándar","A11AA03","","0.63031030326650206","","True",""
"530","A1110","A","11","10","Multivitaminas","Jarabe","Según concentración estándar","A11AA03","","23.02","100 ml","True",""
"531","A1120","A","11","20","Multivitaminas","Polvo liofilizado","Según disponibilidad","A11AA03","","50","","True",""
"532","V0316","V","3","16","N-acetilcisteina","Polvo vía oral","600 mg","V03AB23","R","11.1","","True",""
"533","V0315","V","3","15","N-acetilcisteina","Polvo vía oral","200 mg","V03AB23","R","8.5","","True",""
"534","S0119","S","1","19","Nafazolina clorhidrato","Solución oftálmica","0,1%","S01GA01","","20.727727232953718","15 ml","True",""
"535","V0309","V","3","9","Naloxona","Inyectable","0,4 mg/ml","V03AB15","","63","","True",""
"536","N0216","N","2","16","Naratriptan","Comprimido","2,5 mg","N02CC02","","12.5","","True",""
"537","N0705","N","7","5","Neostigmina","Inyectable","0,5 mg/ml","N07AA01","","8.3249999999999993","","True",""
"538","J0521","J","5","21","Nevirapina","Suspensión","10 mg/ml","J05AG01","","20.75","","True",""
"539","P0206","P","2","6","Niclosamida","Comprimido","500 mg","P02DA01","","7.58","","True",""
"540","C0808","C","8","8","Nifedipino","Comprimido o Cápsula","10 mg","C08CA05","","0.51","","True",""
"541","P0110","P","1","10","Nifurtimox","Comprimido","120 mg","P01CC01","","17.05","","True",""
"542","P0129","P","1","29","Nifurtimox","Comprimido","30 mg","P01CC01","","0.6","","True",""
"543","P0130","P","1","30","Nifurtimox","Comprimido","250 mg","P01CC01","","2.02","","True",""
"544","C0802","C","8","2","Nimodipina","Comprimido","30 mg","C08CA06","","0.93","","True",""
"545","C0803","C","8","3","Nimodipina","Inyectable","0,2 mg/ml","C08CA06","","172.53444999999999","50 ml","True",""
"546","L0154","L","1","54","Nimotuzumab","Inyectable","50 mg","L01XC99","R","68.97","","True",""
"547","A0703","A","7","3","Nistatina","Comprimido","500.000 UI","A07AA02","","0.97","","True",""
"548","A0704","A","7","4","Nistatina","Suspensión","500.000 UI/5 ml","A07AA02","","31.893000000000001","","True",""
"549","D0104","D","1","4","Nistatina","Crema o Pomada","100.000 UI/g","D01AA01","","13.35118483412322","10 g","True",""
"550","G0105","G","1","5","Nistatina","Óvulo","100.000 UI","G01AA01","","1.1499999999999999","","True",""
"551","P0111","P","1","11","Nitazoxanida","Comprimido","500 mg","P01AX11","","6.1","","True",""
"552","P0126","P","1","26","Nitazoxanida","Jarabe","100 mg / 5 ml","P01AX11","","27.914999999999999","","True",""
"553","D0809","D","8","9","Nitrofural (Nitrofurazona)","Crema o Pomada","0,2% (450 g)","D08AF01","","179.02862500000001","","True",""
"554","J0151","J","1","51","Nitrofurantoína","Comprimido","100 mg","J01XE01","","1.5","","True",""
"555","J0152","J","1","52","Nitrofurantoína","Suspensión","25 mg/5 ml","J01XE01","","24.225000000000001","","True",""
"556","C0112","C","1","12","Nitroglicerina (Trinitrato de glicerol)","Inyectable","5 mg/ml","C01DA02","","61.72","10 ml","True",""
"557","C0205","C","2","5","Nitroprusiato de sodio","Inyectable","25 mg/ml","C02DD01","","200","2 ml","True",""
"558","C0115","C","1","15","Noradrenalina","Inyectable","1 mg/ml","C01CA03","","28.8","","True",""
"559","G0315","G","3","15","Noretisterona","Comprimido","5 mg","G03DC02","","1.06","","True",""
"560","G0316","G","3","16","Norgestrel + Etinilestradiol","Comprimido","0,3 mg + 0,03 mg ó 0,5 mg + 0,05 mg","G03FB01","","6.32","","True",""
"561","J0153","J","1","53","Ofloxacina","Comprimido","400 mg","J01MA01","R","0.82","","True",""
"562","J0159","J","1","59","Ofloxacina","Comprimido","200 mg","J01MA01","R","0.71","","True",""
"563","B0511","B","5","11","Oligoelementos para nutricion parenteral","Solución parenteral de gran volúmen","Según disponibilidad","B05BA10","","45.83","","True",""
"564","A0202","A","2","2","Omeprazol","Cápsula","20 mg","A02BC01","","0.6573","","True",""
"565","A0205","A","2","5","Omeprazol","Inyectable","40 mg/ml","A02BC01","","19.47","10 ml","True",""
"566","A0401","A","4","1","Ondansetrón","Inyectable","8 mg","A04AA01","","15.61","","True",""
"567","A0402","A","4","2","Ondansetrón","Comprimido","8 mg","A04AA01","","9.7399999999999984","","True",""
"568","J0536","J","5","36","Oseltamivir","Cápsula","75 mg","J05AH02","R","23.75","","True",""
"569","J0547","J","5","47","Oseltamivir","Suspensión","30 mg/5 ml","J05AH02","R","158.095","","True",""
"570","J0548","J","5","48","Oseltamivir","Suspensión","12 mg/ml","J05AH02","R","13.53","","True",""
"571","L0134","L","1","34","Oxaliplatino","Inyectable","50 mg","L01XA03","","226.88","","True",""
"572","L0135","L","1","35","Oxaliplatino","Inyectable","100 mg","L01XA03","","342.66","","True",""
"573","D0202","D","2","2","Oxido de Zinc con o sin aceite","Pasta o Pomada","Según disponibilidad","D02AB**","","16.25","30 g","True",""
"574","V0310","V","3","10","Oxígeno","Gas","93% - 99%","V03AN01","","15","m3","True",""
"575","G0209","G","2","9","Oxitocina","Inyectable","5 UI/ml o 10 UI/ml","G02AX**","","2.67","10 UI/ml","True",""
"576","L0128","L","1","28","Paclitaxel","Inyectable","30 mg/5 ml","L01CD01","","194.94025806451612","","True",""
"577","L0160","L","1","60","Paclitaxel","Inyectable","300 mg/50 ml","L01CD01","R","1034","","True",""
"578","N0208","N","2","8","Paracetamol (Acetaminofeno)","Comprimido","500 mg","N02BE01","","0.21405208508861259","","True",""
"579","N0209","N","2","9","Paracetamol (Acetaminofeno)","Jarabe","120 mg/5 ml o 125 mg/5 ml","N02BE01","","10.735377345474614","","True",""
"580","N0210","N","2","10","Paracetamol (Acetaminofeno)","Gotas","100 mg/ml","N02BE01","","6.9517148614046373","15 ml","True",""
"581","N0211","N","2","11","Paracetamol (Acetaminofeno)","Supositorio","100 mg","N02BE01","","1.76","","True",""
"582","N0212","N","2","12","Paracetamol (Acetaminofeno)","Comprimido","100 mg","N02BE01","","0.3","","True",""
"583","N0218","N","2","18","Paracetamol (Acetaminofeno)","Inyectable","1 gr","N02BE01","","74.454999999999998","1000Mg/100ml","True",""
"584","L0157","L","1","57","Pazopanib","Comprimido","200 mg","L01XE11","R","278.83","","True",""
"585","L0161","L","1","61","Pegaspargasa","Plegable Frasco Vial","750 mg/ml","L01XX24","R","8765.31","","True",""
"586","M0108","M","1","8","Penicilamina","Comprimido","250 mg","M01CC01","","13.04","","True",""
"587","P0112","P","1","12","Pentamidina","Inyectable","200 mg","P01CX01","","503.59","","True",""
"588","P0113","P","1","13","Pentamidina","Inyectable","300 mg","P01CX01","","816.69","","True",""
"589","P0302","P","3","2","Permetrina","Loción","0.01","P03AC04","","28.43","","True",""
"590","P0303","P","3","3","Permetrina","Crema o Pomada","0.05","P03AC04","","61.23","","True",""
"591","D1002","D","10","2","Peróxido de Benzoílo","Loción","0.05","D10AE01","","85.11","","True",""
"592","D1003","D","10","3","Peróxido de Benzoílo","Crema, Pomada o Gel","0.05","D10AE01","","64.8","90 g","True",""
"593","D0810","D","8","10","Peróxido de hidrógeno (Agua oxigenada)","Solución","2% o 3%","D08AX01","","16.39","1 L","True",""
"594","L0158","L","1","58","Pertuzumab","Inyectable","420 mg/14 ml","L01XC13","R","28476.1","","True",""
"595","N0213","N","2","13","Petidina (Meperidina)","Inyectable","100 mg","N02AB02","","50.31","2 ml","True",""
"596","J0175","J","1","75","Piperacilina + Tazobactam","Inyectable","4 g/500 mg","J01CR05","R","108","","True",""
"597","P0207","P","2","7","Pirantel pamoato","Comprimido","250 mg","P02CC01","","2.16","","True",""
"598","P0208","P","2","8","Pirantel pamoato","Suspensión","250 mg/5 ml","P02CC01","","15.09","15 ml","True",""
"599","J0408","J","4","8","Pirazinamida","Comprimido","500 mg","J04AK01","R","0.292381","","True",""
"600","J0427","J","4","27","Pirazinamida","Comprimido dispersable","150 mg","J04AK01","R","0.63","","True",""
"601","N0706","N","7","6","Piridostigmina","Comprimido","60 mg","N07AA02","","5.5","","True",""
"602","A1111","A","11","11","Piridoxina clorhidrato (Vitamina B6)","Comprimido","300 mg","A11HA02","","3.0649999999999999","","True",""
"603","A1112","A","11","12","Piridoxina clorhidrato (Vitamina B6)","Inyectable","300 mg","A11HA02","","5.0999999999999996","","True",""
"604","P0114","P","1","14","Pirimetamina","Comprimido","25 mg","P01BD01","","0.21","","True",""
"605","P0209","P","2","9","Prazicuantel","Comprimido","600 mg","P02BA01","","3.6","","True",""
"606","H0208","H","2","8","Prednisona","Comprimido","5 mg","H02AB07","","0.60809155545469973","","True",""
"607","H0209","H","2","9","Prednisona","Comprimido ranurado","20 mg","H02AB07","","1.1366026946107786","","True",""
"608","H0210","H","2","10","Prednisona","Suspensión","1 mg/ml","H02AB07","","53.71","100 ml","True",""
"609","N0319","N","3","19","Pregabalina","Comprimido o Cápsula","50 mg","N03AX16","R","6.54","","True",""
